year,no. of cars,Steel(tonnes),Plastic,Iron,Rubber,Aluminium,Glass,Copper
2001-2002,669719,505463.7,86072.3,70039.2,38816.9,24471.5,25315.3,8016.5
2002-2003,723330,572265.4,99524.4,76557.2,44020.4,28708.9,29665.9,9569.6
2003-2004,989560,811239.3,141558.5,108891.2,61251.2,42195.3,40834.2,13611.4
2004-2005,1209876,1045361.9,187176.3,139499.3,82993.2,54740.2,51208.6,19423.9
2005-2006,1309300,1151778.1,206929.6,150316.8,93703.9,62469.3,56612.8,19521.6
2006-2007,1545234,1409559.4,259339.7,177695.7,117663.3,79242.6,72038.8,24012.9
2007-2008,1777583,1645920.9,301564.3,208558.4,146554.6,98642.5,90187.4,28183.5
2008-2009,1838593,1648801.5,309327.6,212921.7,153244.8,102163.2,87973.9,31216.5
2009-2010,2357411,2070944.3,398396.5,251241,204582.0 ,136388,107674.7,39480.7
2010-2011,2987296,2619488.2,522065.8,286828.2,261032.9,178601.4,141965.2,50374.7
2011-2012,3146069,2776947,572011.9,307784.4,268894.5,205337.6,156447.7,53778.9
2012-2013,3233561,2772144.7,586697.3,318094.4,268902.9,220011.5,146674.3,48891.4
2013-2014,3087973,2596750.6,570916.8,285458.4,244020.9,218395.8,142729.2,50645.8
2014-2015,3220172,2736321.8,608612.5,292134,248313.9,238576.1,150935.9,58426.8
2015-2016,3465045,2847331.4,646889.2,305616.9,249587.2,265868,162995.7,56029.7
2016-2017,3801670,3118118.3,720431.6,320817.2,281418.6,303932.1,174479.5,67540.4
2017-2018,4020267,3332109.8,778699.5,332003.7,295785.1,338040.1,181092.9,66400.7
2018-2019,4028471,3303547.6,786844.9,318341.8,300322.5,342367.6,186199.9,71277.4
2019-2020,3424564,2743589.4,664502.4,261773.6,241637.2,291978.3,151023.2,59409.3
2020-2021,3062221,2422366.8,598887.7,223465.5,218996.2,268158.6,134079.3,49162.4
